estado_comprador,sujeto_obligado,proveedor,rfc,situacion,definitivo_dof,fecha_contrato,firmado_despues_definitivo,tipo_procedimiento,ejercicio,importe,monto_mxn_millones,importe_plausible,direccion_anuncio
MICHOACÁN DE OCAMPO,MIC - Coordinacion del Sistema Penitenciario del Estado de Michoacan de Ocampo,POLETTE VALERIA ROJAS SOLORIO,ROSP920428398,Definitivo,2026-04-24,2024-11-15,False,Invitación a cuando menos tres personas,2024,959755.0,0.96,True,https://so.secoem.michoacan.gob.mx/wp-content/uploads/2024/12/CONTRATO-IR-16.pdf
CHIAPAS,CHP - Sociedad Operadora del Aeropuerto Internacional Angel Albino Corzo,CONSTRUCTORA BARLE  S.A. DE C.V.,CBA220225AL7,Definitivo,2025-12-12,2022-12-02,False,Adjudicación directa,2024,925760.71,0.93,False,https://www.sistemas.chiapas.gob.mx/TransparenciaV3/Descargas/DescargarArchivo/?idArchivo=178668&tipoArchivo=1
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,094 comercializadora delta S.A de C.V,NCC220721SG3,Definitivo,2026-04-24,2025-12-31,False,Invitación a cuando menos tres personas,2025,789014.6,0.79,True,"https://drive.google.com/file/d/1NkKwtUEf5nt4O3LFHcjCl3_YnqcBzELU/view?usp=drive_link,"
CHIAPAS,CHP - Sociedad Operadora del Aeropuerto Internacional Angel Albino Corzo,CONSTRUCTORA BARLE  S.A. DE C.V.,CBA220225AL7,Definitivo,2025-12-12,2022-12-27,False,Adjudicación directa,2024,524698.83,0.52,False,https://www.sistemas.chiapas.gob.mx/TransparenciaV3/Descargas/DescargarArchivo/?idArchivo=177487&tipoArchivo=1
CHIAPAS,CHP - Sociedad Operadora del Aeropuerto Internacional Angel Albino Corzo,CONSTRUCTORA BARLE  S.A. DE C.V.,CBA220225AL7,Definitivo,2025-12-12,2022-12-27,False,Adjudicación directa,2025,524698.83,0.52,False,https://www.sistemas.chiapas.gob.mx/TransparenciaV3/Descargas/DescargarArchivo/?idArchivo=177487&tipoArchivo=1
PUEBLA,PUE - H. Ayuntamiento de General Felipe Angeles,Persona Moral,ACC2112135H4,Definitivo,2026-04-30,2024-08-26,False,Invitación a cuando menos tres personas,2024,339739.98,0.34,True,https://storage.googleapis.com/dataismo-public/felipeangeles/demo1/trasparencia/archivos/D0dRpKXMZnSWgwfaeniEw6g1jhxBZh8DGnqkbRTa.pdf
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,094 comercializadora delta S.A. de C.V.,NCC220721SG3,Definitivo,2026-04-24,2025-06-09,False,Adjudicación directa,2025,300440.0,0.3,True,https://drive.google.com/file/d/1-iwBfA2lGB4YKXXYQiIEOrdJphf55CRm/view?usp=drive_link
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,094 comercializadora delta S.A. de C.V.,NCC220721SG3,Definitivo,2026-04-24,2025-04-30,False,Adjudicación directa,2025,298745.24,0.3,True,https://drive.google.com/file/d/15bbazOyYT8yIOfxCDRZFav3AvdSmcmyG/view?usp=drive_link
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,094 Comercializadora Delta S.A. de C.V..,NCC220721SG3,Definitivo,2026-04-24,2024-12-09,False,Adjudicación directa,2025,296035.48,0.3,False,https://drive.google.com/file/d/1oVMHLGw3sCwv6zXLLc8ajJ3aeggGdKwr/view?usp=sharing
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,094 comercializadora delta s.a. de c.v..,NCC220721SG3,Definitivo,2026-04-24,2024-11-29,False,Adjudicación directa,2025,292900.0,0.29,True,"https://drive.google.com/file/d/10042-mFQCJgYbXPHSub_ixSC-2PKqCeF/view?usp=drive_link,"
TABASCO,"TAB - H. AYUNTAMIENTO DEL MUNICIPIO DE CENTLA, TABASCO","CONSTRUAGREGADOS HOPELCHEN, S.A. DE C.V.",CHO170605TF6,Definitivo,2026-02-20,2024-11-08,False,Adjudicación directa,2024,278533.23,0.28,False,https://drive.google.com/drive/folders/1n5k4-6T5E5JkvJqnmeCCE6KyHgWHOH79?usp=drive_link
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,094 comercializadora delta s.a. de c.v..,NCC220721SG3,Definitivo,2026-04-24,2024-10-14,False,Adjudicación directa,2025,271440.0,0.27,True,"https://drive.google.com/file/d/10GvwevV9XPJ_lHkYrrboqxywjWCAwenA/view?usp=drive_link,"
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,094 Comercializadora Delta S.A. de C.V..,NCC220721SG3,Definitivo,2026-04-24,2024-10-14,False,Adjudicación directa,2025,271440.0,0.27,False,"https://drive.google.com/file/d/1YLp2koDBC9si1fOGAImi-bVR4iPeLpEt/view?usp=drive_link,"
MICHOACÁN DE OCAMPO,MIC - Colegio de Estudios Cientificos y Tecnologicos del Estado de Michoacan,POLETTE VALERIA ROJAS SOLORIO,ROSP920428398,Definitivo,2026-04-24,2024-03-23,False,Adjudicación directa,2024,259997.76,0.26,False,http://laipdocs.michoacan.gob.mx/?wpfb_dl=557856
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,094 comercializadora delta S.A. de C.V.,NCC220721SG3,Definitivo,2026-04-24,2025-12-31,False,Adjudicación directa,2025,231072.0,0.23,True,"https://drive.google.com/file/d/16fC5w44F3XCo4HPQsbl4HxBpo7rjuS0F/view?usp=drive_link,"
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,094 Comercializadora Delta S.A. de C.V..,NCC220721SG3,Definitivo,2026-04-24,2024-11-05,False,Adjudicación directa,2025,219820.0,0.22,False,https://drive.google.com/file/d/1HLUGsrXYqYuELu2Ml_xIz5mQJILX7ywv/view?usp=sharing
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,094 comercializadora delta s.a. de c.v..,NCC220721SG3,Definitivo,2026-04-24,2024-11-29,False,Adjudicación directa,2025,216920.0,0.22,True,"https://drive.google.com/file/d/14dRP6pSiZKfIqyh3g8HbkVPFBBc0_OBZ/view?usp=drive_link,"
