institucion,nombre_uc,empresas,dias_entre_constituciones,constituidas_desde,constituidas_hasta,contratos,monto_mxn_millones,proveedores
"INFRAESTRUCTURA, COMUNICACIONES Y TRANSPORTES",DIRECCIÓN GENERAL DE CARRETERAS,8,21,2010-02-02 00:00:00,2010-02-23 00:00:00,14,123.8,"CAMINOS IVYDU SA DE CV (CIV100202MEA, 2010-02-02 00:00:00) | BICUPSA INGENIERIA Y CONSTRUCCION SA DE CV (BIC100203373, 2010-02-03 00:00:00) | CCK CONSULTORIA CONSTRUCTIVA Y DE KONTROL SC (CCC100203771, 2010-02-03 00:00:00) | CONSORCIO AMBIENTAL PADILLA Y VALENCIA SA DE CV (CAP100204GK2, 2010-02-04 00:00:00) | LOPESA CONSTRUCCIONES SA DE CV (LCO100215TK7, 2010-02-15 00:00:00) | EDIFICADORA Y URBANIZADORA CRAWLER SA DE CV (EUC1002161E8, 2010-02-16 00:00:00) | TACVITE DEL SUR SA DE CV (TSU1002195E9, 2010-02-19 00:00:00) | COORPORATIVO EN VIAS TERRESTRES SA DE CV (CVT100223BB0, 2010-02-23 00:00:00)"
SERVICIOS DE SALUD DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL PARA EL BIENESTAR,UNIDAD DE INFRAESTRUCTURA,3,28,2002-07-30 00:00:00,2002-08-27 00:00:00,3,121.1,"MBCC CONSTRUCCIONES SA DE CV (MCO020730Q22, 2002-07-30 00:00:00) | TRES D ARQUITECTURA CREATIVA SA DE CV (TDA020801KW9, 2002-08-01 00:00:00) | RECONSTRUCTORA DE EQUIPO MEDICO SA DE CV (REM020827DN8, 2002-08-27 00:00:00)"
"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.","UNIDAD OPERATIVA NAYARIT, ABASTO",3,29,1981-11-18 00:00:00,1981-12-17 00:00:00,73,120.1,"MOLINOS AZTECA SA DE CV (MAZ8111185X2, 1981-11-18 00:00:00) | SALES DEL ISTMO SA DE CV (SIS811210H53, 1981-12-10 00:00:00) | ACEITES GRASAS Y DERIVADOS SA DE CV (AGD811217HS7, 1981-12-17 00:00:00)"
"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.","UNIDAD OPERATIVA QUERETARO, ABASTO",3,29,1981-11-18 00:00:00,1981-12-17 00:00:00,99,117.1,"MOLINOS AZTECA SA DE CV (MAZ8111185X2, 1981-11-18 00:00:00) | SALES DEL ISTMO SA DE CV (SIS811210H53, 1981-12-10 00:00:00) | ACEITES GRASAS Y DERIVADOS SA DE CV (AGD811217HS7, 1981-12-17 00:00:00)"
SECRETARIA DEL TRABAJO Y PREVISION SOCIAL,DIRECCION DE ADQUISICIONES Y ALMACENES,4,2,2009-02-09 00:00:00,2009-02-11 00:00:00,7,112.2,"GRUPO PROFESIONAL DE SERVICIOS U4 SA DE CV (GPS090209BY2, 2009-02-09 00:00:00) | TECNOLIMPIEZA ECOTEC SA DE CV (TEC090209IE3, 2009-02-09 00:00:00) | IMPACTO EJECUTIVO SA DE CV (IEJ0902111X5, 2009-02-11 00:00:00) | TOKA INTERNACIONAL S A P I DE CV (TIN090211JC9, 2009-02-11 00:00:00)"
INSTITUTO NACIONAL DE ANTROPOLOGIA E HISTORIA,COORDINACION NACIONAL DE OBRAS Y PROYECTOS,4,29,2008-02-11 00:00:00,2008-03-11 00:00:00,23,112.2,"SERVICIOS OPTIMOS INTEGRALES DEL SUR SA DE CV (SOI080211PY1, 2008-02-11 00:00:00) | INMOBILIARIA OSBEN SA DE CV (IOS0802136IA, 2008-02-13 00:00:00) | CONSTRUCTORES CONACER SA DE CV (CCO080219157, 2008-02-19 00:00:00) | PROSAFI TOTAL CONSULTING S DE RL DE CV (PTC0803119B3, 2008-03-11 00:00:00)"
SECRETARÍA DEL MEDIO AMBIENTE,SISTEMA DE AGUAS DE LA CIUDAD DE MÉXICO,3,12,1998-01-09 00:00:00,1998-01-21 00:00:00,7,112.0,"FORZA ECOSISTEMAS SA DE CV (FEC980109S60, 1998-01-09 00:00:00) | EMAJA PERFORACIONES SA DE CV (EPE980114QK7, 1998-01-14 00:00:00) | EMOSO SUPERVISION SA DE CV (ESU980121DG4, 1998-01-21 00:00:00)"
"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.",UNIDAD OPERATIVA ACAYUCAN,3,26,1981-11-18 00:00:00,1981-12-14 00:00:00,104,101.8,"MOLINOS AZTECA SA DE CV (MAZ8111185X2, 1981-11-18 00:00:00) | SALES DEL ISTMO SA DE CV (SIS811210H53, 1981-12-10 00:00:00) | INDUSTRIAL PATRONA SA DE CV (IPA811214UR1, 1981-12-14 00:00:00)"
"INFRAESTRUCTURA, COMUNICACIONES Y TRANSPORTES",CENTRO SCT VERACRUZ,5,27,2012-03-07 00:00:00,2012-04-03 00:00:00,11,101.6,"CIVILES CCT SA DE CV (CCC120307PS5, 2012-03-07 00:00:00) | CONSTRUCCIONES JEVISA SA DE CV (CJE120315UL0, 2012-03-15 00:00:00) | GRUPO WALL ARQUITECTURA Y DISEÑO SA DE CV (GWA1203156K3, 2012-03-15 00:00:00) | IDEVVSA CONSTRUCCIONES SA DE CV (ICO1203279H0, 2012-03-27 00:00:00) | CONSTRUCTORA VIGORSA PVS SA DE CV (CVP1204034A1, 2012-04-03 00:00:00)"
"COMISIÓN DE AGUA POTABLE, ALCANTARILLADO Y SANEAMIENTO DEL ESTADO DE GUERRERO",UNIDAD DE CONTRATACIONES,3,18,2008-05-12 00:00:00,2008-05-30 00:00:00,10,99.2,"ENTORNO CONSTRUCTIVO SA DE CV (ECO080512HT5, 2008-05-12 00:00:00) | CONSTRUCTORA JOSBRAY SA DE CV (CJO080529RU5, 2008-05-29 00:00:00) | B&G CONSTRUCCION Y REHABILITACION DE REDES SA DE CV (BCR080530NPA, 2008-05-30 00:00:00)"
"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.",UNIDAD OPERATIVA COAHUILA,4,29,1981-11-18 00:00:00,1981-12-17 00:00:00,469,97.3,"MOLINOS AZTECA SA DE CV (MAZ8111185X2, 1981-11-18 00:00:00) | HARINAS SA DE CV (HAR811207KX1, 1981-12-07 00:00:00) | SALES DEL ISTMO SA DE CV (SIS811210H53, 1981-12-10 00:00:00) | ACEITES GRASAS Y DERIVADOS SA DE CV (AGD811217HS7, 1981-12-17 00:00:00)"
"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.","UNIDAD OPERATIVA CAMPECHE, OPERACIONES Y ABASTO",3,26,1981-11-18 00:00:00,1981-12-14 00:00:00,104,94.3,"MOLINOS AZTECA SA DE CV (MAZ8111185X2, 1981-11-18 00:00:00) | SALES DEL ISTMO SA DE CV (SIS811210H53, 1981-12-10 00:00:00) | INDUSTRIAL PATRONA SA DE CV (IPA811214UR1, 1981-12-14 00:00:00)"
INSTITUTO MEXICANO DEL SEGURO SOCIAL,DEPARTAMENTO DE CONSERVACION Y SERVICIOS GENERALES,5,16,1998-01-28 00:00:00,1998-02-13 00:00:00,9,92.4,"SERVICIO PLAZA JARDIN SA DE CV (SPJ980128D70, 1998-01-28 00:00:00) | COMUNICADORA TRANSPORTES HORIZONTE SA DE CV (CTH980129UA6, 1998-01-29 00:00:00) | CCT MEXICO SA DE CV (CME9801304Q4, 1998-01-30 00:00:00) | CONSTRUCTORA E INMOBILIARIA SADA SA DE CV (CIS980211T49, 1998-02-11 00:00:00) | CONSTRUCTORA SOLIS PEREZ SA DE CV (CSP980213IW9, 1998-02-13 00:00:00)"
"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.",DICONSA UNIDAD OPERATIVA MICHOCAN - ABASTO,3,29,1981-11-18 00:00:00,1981-12-17 00:00:00,72,89.7,"MOLINOS AZTECA SA DE CV (MAZ8111185X2, 1981-11-18 00:00:00) | SALES DEL ISTMO SA DE CV (SIS811210H53, 1981-12-10 00:00:00) | ACEITES GRASAS Y DERIVADOS SA DE CV (AGD811217HS7, 1981-12-17 00:00:00)"
"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.",DIRECCIÓN DE COMERCIALIZACIÓN,3,29,1981-11-18 00:00:00,1981-12-17 00:00:00,85,88.0,"MOLINOS AZTECA SA DE CV (MAZ8111185X2, 1981-11-18 00:00:00) | SALES DEL ISTMO SA DE CV (SIS811210H53, 1981-12-10 00:00:00) | ACEITES GRASAS Y DERIVADOS SA DE CV (AGD811217HS7, 1981-12-17 00:00:00)"
"ADMINISTRACION DEL SISTEMA PORTUARIO NACIONAL VERACRUZ, S.A. DE C.V.",VERACRUZ-GERENCIA DE INGENIERIA,3,12,2018-09-22 00:00:00,2018-10-04 00:00:00,4,86.4,"CAPITAL HUMANO STAR DE MEXICO SA DE CV (CHS1809226J6, 2018-09-22 00:00:00) | SG CIMENTACIONES Y PUERTOS SA DE CV (SCP181001NG2, 2018-10-01 00:00:00) | ILACAM SERVICIOS Y REDES DE DISTRIBUCION SA DE CV (ISR181004MM5, 2018-10-04 00:00:00)"
"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.","UNIDAD OPERATIVA MIXTECA, ABASTO",3,26,1981-11-18 00:00:00,1981-12-14 00:00:00,170,84.9,"MOLINOS AZTECA SA DE CV (MAZ8111185X2, 1981-11-18 00:00:00) | SALES DEL ISTMO SA DE CV (SIS811210H53, 1981-12-10 00:00:00) | INDUSTRIAL PATRONA SA DE CV (IPA811214UR1, 1981-12-14 00:00:00)"
SERVICIOS DE SALUD DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL PARA EL BIENESTAR,HOSPITAL DE ESPECIALIDADES PEDIATRICAS,5,20,2004-09-08 00:00:00,2004-09-28 00:00:00,7,81.9,"SOLCAN LAB SA DE CV (SLA040908ET6, 2004-09-08 00:00:00) | LABORATORIOS CORNE SA DE CV (LCO040909464, 2004-09-09 00:00:00) | FARMADESCUENTO SA DE CV (FAR040913SJ8, 2004-09-13 00:00:00) | MARCAS NESTLE SA DE CV (MNE0409226K9, 2004-09-22 00:00:00) | GLOBAL BUSINESS GROUP SA DE CV (GBG0409287LA, 2004-09-28 00:00:00)"
"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.","GERENCIA REGIONAL OCCIDENTAL, ABASTO",3,29,1981-11-18 00:00:00,1981-12-17 00:00:00,179,81.6,"MOLINOS AZTECA SA DE CV (MAZ8111185X2, 1981-11-18 00:00:00) | SALES DEL ISTMO SA DE CV (SIS811210H53, 1981-12-10 00:00:00) | ACEITES GRASAS Y DERIVADOS SA DE CV (AGD811217HS7, 1981-12-17 00:00:00)"
AEROPUERTOS Y SERVICIOS AUXILIARES,GERENCIA DE LICITACIONES,5,28,2006-04-05 00:00:00,2006-05-03 00:00:00,10,80.8,"PETRO SERVICIOS DE TULA SA DE CV (PST060405LL8, 2006-04-05 00:00:00) | METALMECANICA ESPECIALIZADA DEL GOLFO SA DE CV (MEG060406MN9, 2006-04-06 00:00:00) | INGENIERIA Y SUPERVISION GAMA SA DE CV (ISG0604249D4, 2006-04-24 00:00:00) | GRUPO RESIDENCIAL MAUSA SA DE CV (GRM060425F72, 2006-04-25 00:00:00) | SERVICIO AUTOMOTRIZ LEMARC SA DE CV (SAL060503T37, 2006-05-03 00:00:00)"
SECRETARIA DE MARINA,DIRECCION GENERAL ADJUNTA DE ADQUISICIONES,8,29,2013-01-28 00:00:00,2013-02-26 00:00:00,52,79.5,"CORPORATIVO DE CAPACITACION EN AERONAUTICA Y NEGOCIOS SC (CCA1301283E4, 2013-01-28 00:00:00) | GRUPO EMPRESARIAL ITSER S DE RL DE CV (GEI130128PN9, 2013-01-28 00:00:00) | ILS INTEGRADORA LOGISTICA EN SALUD SA DE CV (IIL130212AZ0, 2013-02-12 00:00:00) | TENGERI SA DE CV (TEN130218CD6, 2013-02-18 00:00:00) | KINALAT SA DE CV (KIN130221S11, 2013-02-21 00:00:00) | TECNOLOGIA BIOMEDICA INTEGRAL SA DE CV (TBI130221LA3, 2013-02-21 00:00:00) | RYUVA GROUP SA DE CV (RGR1302222U4, 2013-02-22 00:00:00) | DESARROLLO COMERCIAL OZU SA DE CV (DCO130226K24, 2013-02-26 00:00:00)"
INSTITUTO MEXICANO DEL SEGURO SOCIAL,"DEL. GUERRERO, COORDINACION DE ABASTECIMIENTO Y EQUIPAMIENTO",5,29,2019-09-10 00:00:00,2019-10-09 00:00:00,33,78.4,"SERVICIOS BIOMEDICOS Y TECNOLOGICOS VIMA SA DE CV (SBT1909106N9, 2019-09-10 00:00:00) | DISTRIBUIDOR MEDICO TECNOMED SA DE CV (DMT190918N50, 2019-09-18 00:00:00) | RAPIDOS DE LA SIERRA FRIA SA DE CV (RSF190925TMA, 2019-09-25 00:00:00) | PRODUCTOS FARMACEUTICOS EKA SA DE CV (PFE190926IK3, 2019-09-26 00:00:00) | GOLDIE AUTHENTIC 2695 SAS DE CV (GAD191009P82, 2019-10-09 00:00:00)"
SECRETARÍA DE SALUD,"DEPARTAMENTO DE RECURSOS HUMANOS, FINANCIEROS Y MATERIALES",3,27,2012-04-12 00:00:00,2012-05-09 00:00:00,4,78.4,"DISTRIBUCION INTEGRAL SURESTE SA DE CV (DIS120412EI0, 2012-04-12 00:00:00) | MGP COMERCIALIZADORA DE PRODUCTOS NACIONALES SA DE CV (MCP120419HR8, 2012-04-19 00:00:00) | MULTIEQUIPOS Y MEDICAMENTOS SA DE CV (MME1205095G0, 2012-05-09 00:00:00)"
CENTRO,"DIRECCION DE OBRAS, ORDENAMIENTO TERRITORIAL Y SERVICIOS MUNICIPALES",3,3,2015-09-11 00:00:00,2015-09-14 00:00:00,3,76.7,"GREEN ROBOT TECNOLOGIAS SA DE CV (GRT1509111I9, 2015-09-11 00:00:00) | DIBROSA SOLUCIONES SA DE CV (DSO1509147X0, 2015-09-14 00:00:00) | LLASRO SA DE CV (LAS150914VB0, 2015-09-14 00:00:00)"
INSTITUTO DE SALUD PARA EL BIENESTAR,COORDINACION DE OPTIMIZACION Y PROCESOS DEL ABASTO,5,23,2012-09-19 00:00:00,2012-10-12 00:00:00,10,75.7,"PRO-MEDICAL AR SA DE CV (PAR1209195K6, 2012-09-19 00:00:00) | CONTROLADORA MEDIKA SA DE CV (CME1210038J9, 2012-10-03 00:00:00) | DHB BIOMED CONSULTANT GROUP SA DE CV (DBC121009H47, 2012-10-09 00:00:00) | FBLAB SA DE CV (FBL121010BY1, 2012-10-10 00:00:00) | LEO PHARMACEUTICALS S DE RL DE CV (LPH121012RG3, 2012-10-12 00:00:00)"
"ADMINISTRACION DEL SISTEMA PORTUARIO NACIONAL MAZATLAN, S.A. DE C.V.",MAZATLAN-DIRECCION GENERAL,3,26,2012-05-30 00:00:00,2012-06-25 00:00:00,4,74.6,"URBANIZACIONES Y DISEÑOS GAMA SA DE CV (UDG120530U36, 2012-05-30 00:00:00) | SERVICIOS DE CAPACITACION Y EDUCACION A DISTANCIA SC (SCE1206069T3, 2012-06-06 00:00:00) | SERMUKAI SA DE CV (SER120625DE9, 2012-06-25 00:00:00)"
SERVICIOS DE SALUD DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL PARA EL BIENESTAR,COORDINACIÓN DE RECURSOS MATERIALES,5,23,2005-03-29 00:00:00,2005-04-21 00:00:00,23,71.9,"ABASTECEDORA HIGIENICA DE SONORA SA DE CV (AHS0503295N0, 2005-03-29 00:00:00) | FARMACOS DINSA SA DE CV (FDI050413ML4, 2005-04-13 00:00:00) | CALZADO DURAMIL DE MEXICO SA DE CV (CDM050415C68, 2005-04-15 00:00:00) | COMERCIALIZADORA ARVIEN SA DE CV (CAR050418677, 2005-04-18 00:00:00) | MAYOLY SPINDLER DE MEXICO SA DE CV (MSM050421V56, 2005-04-21 00:00:00)"
INSTITUTO DEL FONDO NACIONAL PARA EL CONSUMO DE LOS TRABAJADORES,"DIRECCION DE RECURSOS MATERIALES Y SERVICIOS GENERALES, SUBDIRECCION GENERAL DE ADMON",4,22,2011-10-03 00:00:00,2011-10-25 00:00:00,14,70.8,"COMERCIALIZADORA DE SERVICIOS PUBLICITARIOS Y MULTIMEDIOS MAYANN (CSP111003QY6, 2011-10-03 00:00:00) | ADVKNWCON CONSULTORIA EN IT S DE RL DE CV (ACI111011N91, 2011-10-11 00:00:00) | INFORMACION INTEGRAL 24\ (IIN1110125F3, 2011-10-12 00:00:00) | VICASOEN S A P I DE CV (VIC111025898, 2011-10-25 00:00:00)"
INSTITUTO MEXICANO DEL SEGURO SOCIAL,"OOAD, ESTADO DE MEXICO PONIENTE, COORDINACION DE ABASTECIMIENTO Y EQUIPAMIENTO",6,27,2020-06-19 00:00:00,2020-07-16 00:00:00,112,70.3,"DHAC MEDICS SA DE CV (DME200619792, 2020-06-19 00:00:00) | COMERCIALIZADORA THE CAT AND THE MOON SAS DE CV (CCM200622EA0, 2020-06-22 00:00:00) | FITSTORE NUTRITION SA DE CV (FNU2006247E0, 2020-06-24 00:00:00) | PHARMACEUTICA MARLEX SA DE CV (PMA200707CB6, 2020-07-07 00:00:00) | SOLOGMEDIC SA DE CV (SOL200713KR0, 2020-07-13 00:00:00) | SAGO MEDICAL SERVICE SA DE CV (SMS200716NZ4, 2020-07-16 00:00:00)"
INSTITUTO NACIONAL DE CANCEROLOGÍA,DIRECCION DE ADMINISTRACION,9,26,2014-02-27 00:00:00,2014-03-25 00:00:00,19,65.9,"LIREM INOVATION S DE RL DE CV (LIN1402276D2, 2014-02-27 00:00:00) | SIMEC SERVICIOS DE INGENIERIA, MECANICA, ELECTRICA Y CIVIL SA DE CV (SSI140303UTA, 2014-03-03 00:00:00) | CARDIOPARTS SA DE CV (CAR1403059G2, 2014-03-05 00:00:00) | MEDICAL VIVE SA DE CV (MVI140307P50, 2014-03-07 00:00:00) | ESPECIALISTAS EN FARMACOS DEL NORTE SA DE CV (EFN140312847, 2014-03-12 00:00:00) | MERXAM CORPORATIVO S DE RL DE CV (MCO1403136B0, 2014-03-13 00:00:00) | BIO GREEN PRODUCTS SA DE CV (BGP140314BQ5, 2014-03-14 00:00:00) | TREMACA SA DE CV (TRE140314TR3, 2014-03-14 00:00:00) | GRUPO ALMAJI SA DE CV (GAL1403252P4, 2014-03-25 00:00:00)"
"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.",SUCURSAL CENTRO-NORTE SUBGERENCIA DE ABASTO,4,29,1981-11-18 00:00:00,1981-12-17 00:00:00,88,65.2,"MOLINOS AZTECA SA DE CV (MAZ8111185X2, 1981-11-18 00:00:00) | HARINAS SA DE CV (HAR811207KX1, 1981-12-07 00:00:00) | SALES DEL ISTMO SA DE CV (SIS811210H53, 1981-12-10 00:00:00) | ACEITES GRASAS Y DERIVADOS SA DE CV (AGD811217HS7, 1981-12-17 00:00:00)"
"ADMINISTRACION DEL SISTEMA PORTUARIO NACIONAL MANZANILLO, S.A. DE C.V.",MANZANILLO-GERENCIA DE ADMINISTRACION Y FINANZAS,3,26,2003-11-28 00:00:00,2003-12-24 00:00:00,4,64.6,"AYESA MEXICO SA DE CV (AME031128I73, 2003-11-28 00:00:00) | GLOBAL INFORMATION TECHNOLOGIES SA DE CV (GIT0312035R1, 2003-12-03 00:00:00) | GESTION Y ASESORIA JURIDICO AMBIENTAL SC (GAJ031224UJ4, 2003-12-24 00:00:00)"
AGENCIA NACIONAL DE ADUANAS DE MÉXICO,DIRECCIÓN DE RECURSOS MATERIALES Y SERVICIOS GENERALES,3,29,2009-02-09 00:00:00,2009-03-10 00:00:00,7,62.7,"GRUPO PROFESIONAL DE SERVICIOS U4 SA DE CV (GPS090209BY2, 2009-02-09 00:00:00) | TOKA INTERNACIONAL S A P I DE CV (TIN090211JC9, 2009-02-11 00:00:00) | MAZARS AUDITORES S DE RL DE CV (MAU090310552, 2009-03-10 00:00:00)"
SERVICIOS DE SALUD DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL PARA EL BIENESTAR,HOSPITAL REGIONAL DE ALTA ESPECIALIDAD DE OAXACA,4,15,2010-06-21 00:00:00,2010-07-06 00:00:00,9,61.3,"ISA HEALTH SA DE CV (IHE100621C38, 2010-06-21 00:00:00) | SOLAR MEDICAL SA DE CV (SME100621IG8, 2010-06-21 00:00:00) | SUMINISTROS MEDICOS DE MEXICO SA DE CV (SMM1006305X7, 2010-06-30 00:00:00) | ZYDUS PHARMACEUTICALS MEXICO SA DE CV (ZPM1007066L8, 2010-07-06 00:00:00)"
CAMINOS Y PUENTES FEDERALES DE INGRESOS Y SERVICIOS CONEXOS,GERENCIA DE RECURSOS MATERIALES,4,29,1999-01-19 00:00:00,1999-02-17 00:00:00,12,60.1,"ABC UNIFORMES SA DE CV (AUN990119MYA, 1999-01-19 00:00:00) | EL PALACIO DEL RESCATISTA SA DE CV (PRE990204QN2, 1999-02-04 00:00:00) | CONECTIVIDAD EXPERTA CON TECNOLOGIA AVANZADA SA DE CV (CET990211P35, 1999-02-11 00:00:00) | INGENIERIA EN ELEVADORES SA DE CV (IEL990217RN8, 1999-02-17 00:00:00)"
"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.",GERENCIA DE RECURSOS MATERIALES Y SERVICIOS GENERALES,3,24,1991-05-27 00:00:00,1991-06-20 00:00:00,11,60.0,"COMERCIALIZADORA COLUMBIA S A P I DE CV (CCO910527223, 1991-05-27 00:00:00) | FUMITECNI INDUSTRIA Y HOGAR SA DE CV (FIH910606J83, 1991-06-06 00:00:00) | MICROSOFT MEXICO S DE RL DE CV (MME910620Q85, 1991-06-20 00:00:00)"
"INFRAESTRUCTURA, COMUNICACIONES Y TRANSPORTES",CENTRO SCT GUERRERO,4,26,2014-01-23 00:00:00,2014-02-18 00:00:00,5,55.9,"GUCOC SA DE CV (GUC140123RRA, 2014-01-23 00:00:00) | DISTRIBUIDORA Y COMERCIALIZADORA ACEGRA SA DE CV (DCA1401245C9, 2014-01-24 00:00:00) | PROYECTOS MODERNOS RUBI SA DE CV (PMR1401242C1, 2014-01-24 00:00:00) | PELAC PROYECTOS, ESTUDIOS Y LABORATORIO DE LA CONSTRUCCION SC (PPE140218T33, 2014-02-18 00:00:00)"
INSTITUTO MEXICANO DEL SEGURO SOCIAL,"UNIDAD MEDICA DE ALTA ESPECIALIDAD, HOSPITAL DE ESPECIALIDADES, DR. ANTONIO FRAGA MOURET",5,27,2011-09-29 00:00:00,2011-10-26 00:00:00,17,54.9,"COMERCIALIZADORA DE MULTIPLES PRODUCTOS ZAGAL SA DE CV (CMP1109292S1, 2011-09-29 00:00:00) | VITER MEDICAL SA DE CV (VME1109302M3, 2011-09-30 00:00:00) | VECTOR IMPULSOR DE PROYECTOS SA DE CV (VIP111024LR4, 2011-10-24 00:00:00) | INSUMOS Y SOLUCIONES MEDICAS SA DE CV (ISM111025JF9, 2011-10-25 00:00:00) | MEDIKAL-MUNERIS SA DE CV (MED111026J78, 2011-10-26 00:00:00)"
INSTITUTO POLITECNICO NACIONAL,DIRECCION DE RECURSOS MATERIALES E INFRAESTRUCTURA,12,28,2020-11-12 00:00:00,2020-12-10 00:00:00,56,52.8,"YUNASET SERVICIOS EMPRESARIALES SA DE CV (YSE201112187, 2020-11-12 00:00:00) | RED MEXICANA DE ENFERMERIA EN LA PRESCRIPCION AC (RME201113C39, 2020-11-13 00:00:00) | AEON&LMS SA DE CV (AEO2011174X6, 2020-11-17 00:00:00) | BUNKER 369 SA DE CV (BTS201117656, 2020-11-17 00:00:00) | SERVICIOS DE CONSTRUCCION PIX A IM SA DE CV (SCP201118AL3, 2020-11-18 00:00:00) | GUINDA MED SA DE CV (GME201125F3A, 2020-11-25 00:00:00) | TODOS LOS LIBROS SA DE CV (TLI201209NQ4, 2020-12-09 00:00:00) | XIMEM CONSTRUCCIONES S DE RL DE CV (XCO201209238, 2020-12-09 00:00:00) | COMPUPA GAM SUMINISTRO DE PAPELERIA Y COMPUTO SA DE CV (CGS201210QW7, 2020-12-10 00:00:00) | DRACIBA CONSTRUCCIONES Y ACABADOS SA DE CV (DCA201210RT1, 2020-12-10 00:00:00) | IDHEAS CONSULTORIA SC (ICO2012103F6, 2020-12-10 00:00:00) | RRM LIMPIEZA INDUSTRIAL ESPECIALIZADA SA DE CV (RLI2012102J6, 2020-12-10 00:00:00)"
INSTITUTO MEXICANO DEL SEGURO SOCIAL,UMAE HOSPITAL DE ESPECILIDADES NO.71 DEPTO DE ABASTECIMIENTO,6,25,2020-11-12 00:00:00,2020-12-07 00:00:00,72,52.7,"ORTHOPBONE & SPINE SA DE CV (OAS201112K7A, 2020-11-12 00:00:00) | FRADISAC PHARMA SA DE CV (FPH201119CX5, 2020-11-19 00:00:00) | COMERCIALIZADORA STADEL DEL NORTE SA DE CV (CSN201127EIA, 2020-11-27 00:00:00) | COMERCIAL Y DISTRIBUIDORA FOBRE SA DE CV (CDF201128FX7, 2020-11-28 00:00:00) | PROQUIMICA Y ALTA ESPECIALIDAD MEDICA SA DE CV (PAE201204H24, 2020-12-04 00:00:00) | COMERCIALIZADORA SVR SA DE CV (CSV201207SF6, 2020-12-07 00:00:00)"
"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.",UNIDAD OPERATIVA ISTMO-COSTA,3,26,1981-11-18 00:00:00,1981-12-14 00:00:00,64,51.5,"MOLINOS AZTECA SA DE CV (MAZ8111185X2, 1981-11-18 00:00:00) | SALES DEL ISTMO SA DE CV (SIS811210H53, 1981-12-10 00:00:00) | INDUSTRIAL PATRONA SA DE CV (IPA811214UR1, 1981-12-14 00:00:00)"
INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,JEFATURA DE SERVICIOS DE ADQUISICION DE MEDICAMENTOS,4,19,2004-09-09 00:00:00,2004-09-28 00:00:00,23,51.0,"LABORATORIOS CORNE SA DE CV (LCO040909464, 2004-09-09 00:00:00) | FARMADESCUENTO SA DE CV (FAR040913SJ8, 2004-09-13 00:00:00) | MARCAS NESTLE SA DE CV (MNE0409226K9, 2004-09-22 00:00:00) | GLOBAL BUSINESS GROUP SA DE CV (GBG0409287LA, 2004-09-28 00:00:00)"
"FONDO DE GARANTIA Y FOMENTO PARA LA AGRICULTURA, GANADERIA Y AVICULTURA",SUBDIRECCIÓN DE ADQUISICIONES,3,18,1995-10-13 00:00:00,1995-10-31 00:00:00,6,51.0,"UNINET SA DE CV (UNI951013RC1, 1995-10-13 00:00:00) | DATAVISION DIGITAL SA DE CV (DDI951027KV4, 1995-10-27 00:00:00) | CORPORADIO SA DE CV (COR9510311H0, 1995-10-31 00:00:00)"
INSTITUTO MEXICANO DEL SEGURO SOCIAL,DA-UADQ-CABCS-DCAL,6,29,2010-11-22 00:00:00,2010-12-21 00:00:00,11,50.3,"SAN DIEGO CLEAN SA DE CV (SDC101122K4A, 2010-11-22 00:00:00) | ESPECIALIDADES SERITAM SA DE CV (ESE101125A33, 2010-11-25 00:00:00) | UNIVERSIDAD EDUCATIVA DE ECATEPEC SC (UEE101126SJ3, 2010-11-26 00:00:00) | CHAVERO RADIO SA DE CV (CRA101130AY7, 2010-11-30 00:00:00) | INICIATIVA RADIOFONICA MEXICANA S DE RL DE CV (IRM101217AD0, 2010-12-17 00:00:00) | EDITORA SUR CENTRO SA DE CV (ESC101221CT6, 2010-12-21 00:00:00)"
