institucion,nombre_uc,empresas,dias_entre_constituciones,constituidas_desde,constituidas_hasta,contratos,monto_mxn_millones,proveedores
INSTITUTO MEXICANO DEL SEGURO SOCIAL,"UNIDAD MEDICA DE ALTA ESPECIALIDAD, HOSPITAL DE GINECOOBSTETRICIA DEL CENTRO MEDICO NACIONAL DE",4,15,2020-07-07 00:00:00,2020-07-22 00:00:00,16,1.4,"PHARMACEUTICA MARLEX SA DE CV (PMA200707CB6, 2020-07-07 00:00:00) | SOLOGMEDIC SA DE CV (SOL200713KR0, 2020-07-13 00:00:00) | SAGO MEDICAL SERVICE SA DE CV (SMS200716NZ4, 2020-07-16 00:00:00) | CELLEX MEDICAMENTOS S DE RL DE CV (CME200722RVA, 2020-07-22 00:00:00)"
"CENTRO DE INVESTIGACIÓN Y ASISTENCIA EN TECNOLOGÍA Y DISEÑO DEL ESTADO DE JALISCO, A.C.",SUBDIRECCION DE RECURSOS MATERIALES,3,29,2017-02-24 00:00:00,2017-03-25 00:00:00,4,1.4,"CLB CORPORATIVO EN LOGISTICA PREVENTIVA SA DE CV (CCL170224DE7, 2017-02-24 00:00:00) | CROCERT SERVICIO DE MANTENIMIENTO INDUSTRIAL S DE RL DE CV (CSM1703246H6, 2017-03-24 00:00:00) | BUSINESS BY DESIGN SA DE CV (BBD170325RM6, 2017-03-25 00:00:00)"
SERVICIOS DE SALUD DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL PARA EL BIENESTAR,"HOSPITAL REGIONAL DE ALTA ESPECIALIDAD DEL BAJÍO, DIRECCIÓN DE ADMINISTRACIÓN Y FINANZAS",5,29,2007-07-25 00:00:00,2007-08-23 00:00:00,15,1.3,"PROFESSIONAL PHARMACY OCCIDENTE SA DE CV (PPO070725F64, 2007-07-25 00:00:00) | IMPORTADORA FC SA DE CV (IFC070731Q67, 2007-07-31 00:00:00) | ASPEN LABS SA DE CV (ALA0708221J7, 2007-08-22 00:00:00) | DISTRIBUIDORA INTERNACIONAL RALMO SA DE CV (DIR070822774, 2007-08-22 00:00:00) | MAYDIN SA DE CV (MAY0708235I4, 2007-08-23 00:00:00)"
INSTITUTO MEXICANO DEL SEGURO SOCIAL,"UMAE HOSPITAL DE CARDIOLOGIA NO.34, DIRECCION ADMINISTRATIVA",3,12,2008-06-19 00:00:00,2008-07-01 00:00:00,14,1.3,"ESPECIALISTAS EN APLICACIONES Y SOPORTE TECNICO MEDICO SA DE CV (EAS080619B92, 2008-06-19 00:00:00) | BIOMA FARMACEUTICA SA DE CV (BFA080627KN0, 2008-06-27 00:00:00) | CANAPHARMA SA DE CV (CAN080701DN6, 2008-07-01 00:00:00)"
SECRETARIA DE RELACIONES EXTERIORES,DIRECCIÓN GENERAL DE BIENES INMUEBLES Y RECURSOS MATERIALES,3,27,2001-06-20 00:00:00,2001-07-17 00:00:00,3,1.3,"ABASTO HOSPITALARIO SA DE CV (AHO010620PG8, 2001-06-20 00:00:00) | FUM KILLER PLUSS SA DE CV (FKP0106298L1, 2001-06-29 00:00:00) | CREATIVIDAD Y ESPECTACULOS SA DE CV (CES010717LKA, 2001-07-17 00:00:00)"
"ADMINISTRACION DEL SISTEMA PORTUARIO NACIONAL PUERTO CHIAPAS, S.A. DE C.V.",PUERTO CHIAPAS-GERENCIA DE ADMINISTRACION Y FINANZAS,3,30,2016-12-14 00:00:00,2017-01-13 00:00:00,4,1.3,"OPERADORA Y ADMINISTRADORA DE INFORMACION Y EDITORIAL SA DE CV (OAI161214M17, 2016-12-14 00:00:00) | CORMAGO SA DE CV (COR161216CZ4, 2016-12-16 00:00:00) | PREDICTIONS EMPRESARIAL SA DE CV (PEM170113GY2, 2017-01-13 00:00:00)"
FIDEICOMISO FONDO NACIONAL DE FOMENTO EJIDAL,SUBDIRECCION ADMINISTRATIVA,3,7,2017-02-15 00:00:00,2017-02-22 00:00:00,4,1.3,"MANUFACTURAS SERKA CONTINENTALES SA DE CV (MSC170215V20, 2017-02-15 00:00:00) | MAGNOCOM SA DE CV (MAG170216BCA, 2017-02-16 00:00:00) | SOLUCIONES INTEGRALES ELYM S DE RL DE CV (SIE170222NV2, 2017-02-22 00:00:00)"
CASA DE MONEDA DE MEXICO,DIRECCIÓN CORPORATIVA DE ADMINSITRACIÓN,4,27,2014-10-03 00:00:00,2014-10-30 00:00:00,17,1.2,"NOW NEW MEDIA S A P I DE CV (NNM1410032T8, 2014-10-03 00:00:00) | BANSI S.A. F/2138-2 (BSF141027SMA, 2014-10-27 00:00:00) | HOSPITALIDAD REAL DE LOMAS SA DE CV (HRL141027IP2, 2014-10-27 00:00:00) | SACAR DEL CENTRO MEXICO SA DE CV (SCM141030BD6, 2014-10-30 00:00:00)"
CENTRO DE ENSENANZA TECNICA INDUSTRIAL,RECURSOS MATERIALES,3,24,2008-01-29 00:00:00,2008-02-22 00:00:00,5,1.2,"CPS OCCIDENTE SA DE CV (COC080129UDA, 2008-01-29 00:00:00) | FUMIKLIN SA DE CV (FUM080207KL2, 2008-02-07 00:00:00) | PANGEA ELECTROSISTEMAS SA DE CV (PEL080222GI7, 2008-02-22 00:00:00)"
"CIATEC, A.C. ""CENTRO DE INNOVACION APLICADA EN TECNOLOGIAS COMPETITIVAS""",SUBDIRECCION DE RECURSOS MATERIALES Y SERVICIOS,3,16,2017-01-31 00:00:00,2017-02-16 00:00:00,5,1.2,"MEGFOUR CONSTRUCTORES SA DE CV (MCO170131D84, 2017-01-31 00:00:00) | MANUFACTURAS SERKA CONTINENTALES SA DE CV (MSC170215V20, 2017-02-15 00:00:00) | MAGNOCOM SA DE CV (MAG170216BCA, 2017-02-16 00:00:00)"
